Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent,Code
Belgium,2020-02-07,1,0,0,Europe,BEL
Cambodia,2020-02-07,1,0,0,Asia,KHM
Canada,2020-02-07,7,0,0,Americas,CAN
Finland,2020-02-07,1,0,0,Europe,FIN
France,2020-02-07,6,0,0,Europe,FRA
Germany,2020-02-07,13,0,0,Europe,DEU
Hong Kong SAR China,2020-02-07,25,1,0,Asia,HKG
India,2020-02-07,3,0,0,Asia,IND
Italy,2020-02-07,3,0,0,Europe,ITA
Japan,2020-02-07,25,0,1,Asia,JPN
Macao SAR China,2020-02-07,10,0,1,Asia,MAC
China,2020-02-07,34075,717,1998,Asia,CHN
Malaysia,2020-02-07,12,0,1,Asia,MYS
Nepal,2020-02-07,1,0,0,Asia,NPL
Others,2020-02-07,61,0,0,Outro,NA
Philippines,2020-02-07,3,1,0,Asia,PHL
Russia,2020-02-07,2,0,0,Europe,RUS
Singapore,2020-02-07,30,0,0,Asia,SGP
South Korea,2020-02-07,24,0,1,Asia,KOR
Spain,2020-02-07,1,0,0,Europe,ESP
Sri Lanka,2020-02-07,1,0,0,Asia,LKA
Sweden,2020-02-07,1,0,0,Europe,SWE
Taiwan,2020-02-07,16,0,1,Asia,TWN
Thailand,2020-02-07,25,0,5,Asia,THA
United Kingdom,2020-02-07,3,0,0,Europe,GBR
United Arab Emirates,2020-02-07,5,0,0,Asia,ARE
United States,2020-02-07,12,0,0,Americas,USA
Vietnam,2020-02-07,10,0,1,Asia,VNM
Australia,2020-02-08,15,0,2,Oceania,AUS
Belgium,2020-02-08,1,0,0,Europe,BEL
Cambodia,2020-02-08,1,0,0,Asia,KHM
Canada,2020-02-08,7,0,0,Americas,CAN
Finland,2020-02-08,1,0,0,Europe,FIN
France,2020-02-08,11,0,0,Europe,FRA
Germany,2020-02-08,13,0,0,Europe,DEU
Hong Kong SAR China,2020-02-08,26,1,0,Asia,HKG
India,2020-02-08,3,0,0,Asia,IND
Italy,2020-02-08,3,0,0,Europe,ITA
Japan,2020-02-08,25,0,1,Asia,JPN
Macao SAR China,2020-02-08,10,0,1,Asia,MAC
China,2020-02-08,36778,804,2595,Asia,CHN
Malaysia,2020-02-08,16,0,1,Asia,MYS
Nepal,2020-02-08,1,0,0,Asia,NPL
Others,2020-02-08,61,0,0,Outro,NA
Philippines,2020-02-08,3,1,0,Asia,PHL
Russia,2020-02-08,2,0,0,Europe,RUS
Singapore,2020-02-08,33,0,2,Asia,SGP
South Korea,2020-02-08,24,0,1,Asia,KOR
Spain,2020-02-08,1,0,0,Europe,ESP
Sri Lanka,2020-02-08,1,0,1,Asia,LKA
Sweden,2020-02-08,1,0,0,Europe,SWE
Taiwan,2020-02-08,17,0,1,Asia,TWN
Thailand,2020-02-08,32,0,10,Asia,THA
United Kingdom,2020-02-08,3,0,0,Europe,GBR
United Arab Emirates,2020-02-08,7,0,0,Asia,ARE
United States,2020-02-08,12,0,0,Americas,USA
Vietnam,2020-02-08,13,0,1,Asia,VNM
Australia,2020-02-09,15,0,2,Oceania,AUS
Belgium,2020-02-09,1,0,0,Europe,BEL
Cambodia,2020-02-09,1,0,0,Asia,KHM
Canada,2020-02-09,7,0,0,Americas,CAN
Finland,2020-02-09,1,0,0,Europe,FIN
France,2020-02-09,11,0,0,Europe,FRA
Germany,2020-02-09,14,0,0,Europe,DEU
Hong Kong SAR China,2020-02-09,29,1,0,Asia,HKG
India,2020-02-09,3,0,0,Asia,IND
Italy,2020-02-09,3,0,0,Europe,ITA
Japan,2020-02-09,26,0,1,Asia,JPN
Macao SAR China,2020-02-09,10,0,1,Asia,MAC
China,2020-02-09,39790,904,3218,Asia,CHN
Malaysia,2020-02-09,16,0,1,Asia,MYS
Nepal,2020-02-09,1,0,0,Asia,NPL
Others,2020-02-09,64,0,0,Outro,NA
Philippines,2020-02-09,3,1,0,Asia,PHL
Russia,2020-02-09,2,0,0,Europe,RUS
Singapore,2020-02-09,40,0,2,Asia,SGP
South Korea,2020-02-09,25,0,3,Asia,KOR
Spain,2020-02-09,2,0,0,Europe,ESP
