Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent
South Korea,2020-02-09,25,0,3,Asia
Spain,2020-02-09,2,0,0,Europe
Sri Lanka,2020-02-09,1,0,1,Asia
Sweden,2020-02-09,1,0,0,Europe
Taiwan,2020-02-09,18,0,1,Asia
Thailand,2020-02-09,32,0,10,Asia
United Kingdom,2020-02-09,3,0,0,Europe
United Arab Emirates,2020-02-09,7,0,0,Asia
US,2020-02-09,12,0,3,Americas
Vietnam,2020-02-09,13,0,1,Asia
Australia,2020-02-10,15,0,2,Oceania
Belgium,2020-02-10,1,0,0,Europe
Cambodia,2020-02-10,1,0,0,Asia
Canada,2020-02-10,7,0,0,Americas
Finland,2020-02-10,1,0,0,Europe
France,2020-02-10,11,0,0,Europe
Germany,2020-02-10,14,0,0,Europe
Hong Kong,2020-02-10,38,1,0,Asia
India,2020-02-10,3,0,0,Asia
Italy,2020-02-10,3,0,0,Europe
Japan,2020-02-10,26,0,4,Asia
Macau,2020-02-10,10,0,1,Asia
China,2020-02-10,42306,1011,3917,Asia
Malaysia,2020-02-10,18,0,1,Asia
Nepal,2020-02-10,1,0,0,Asia
Others,2020-02-10,135,0,0,Outro
Philippines,2020-02-10,3,1,0,Asia
Russia,2020-02-10,2,0,0,Europe
Singapore,2020-02-10,45,0,2,Asia
South Korea,2020-02-10,27,0,3,Asia
Spain,2020-02-10,2,0,0,Europe
Sri Lanka,2020-02-10,1,0,1,Asia
Sweden,2020-02-10,1,0,0,Europe
Taiwan,2020-02-10,18,0,1,Asia
Thailand,2020-02-10,32,0,10,Asia
United Kingdom,2020-02-10,8,0,0,Europe
United Arab Emirates,2020-02-10,8,0,0,Asia
US,2020-02-10,12,0,3,Americas
Vietnam,2020-02-10,14,0,1,Asia
Australia,2020-02-11,15,0,2,Oceania
Belgium,2020-02-11,1,0,0,Europe
Cambodia,2020-02-11,1,0,0,Asia
Canada,2020-02-11,7,0,0,Americas
Finland,2020-02-11,1,0,0,Europe
France,2020-02-11,11,0,0,Europe
Germany,2020-02-11,16,0,0,Europe
Hong Kong,2020-02-11,49,1,0,Asia
India,2020-02-11,3,0,0,Asia
Italy,2020-02-11,3,0,0,Europe
Japan,2020-02-11,26,0,9,Asia
Macau,2020-02-11,10,0,1,Asia
China,2020-02-11,44327,1111,4635,Asia
