Country,DateRep,ConfirmedCases,Deaths,Recovered,Capital,Continent
Nepal,2020-02-11,1,0,0,Kathmandu,Asia
Philippines,2020-02-11,3,1,0,Manila,Asia
Russia,2020-02-11,2,0,0,Moscow,Europe
Singapore,2020-02-11,47,0,9,Singapore,Asia
South Korea,2020-02-11,28,0,3,Seoul,Asia
Spain,2020-02-11,2,0,0,Madrid,Europe
Sri Lanka,2020-02-11,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-11,1,0,0,Stockholm,Europe
Taiwan,2020-02-11,18,0,1,Taipei,Asia
Thailand,2020-02-11,33,0,10,Bangkok,Asia
United Kingdom,2020-02-11,8,0,0,London,Europe
United Arab Emirates,2020-02-11,8,0,0,Abu Dhabi,Asia
Vietnam,2020-02-11,15,0,6,Hanoi,Asia
Australia,2020-02-12,15,0,2,Canberra,Oceania
Belgium,2020-02-12,1,0,0,Brussels,Europe
Cambodia,2020-02-12,1,0,1,Phnom Penh,Asia
Canada,2020-02-12,7,0,1,Ottawa,America
Finland,2020-02-12,1,0,1,Helsinki,Europe
France,2020-02-12,11,0,2,Paris,Europe
Germany,2020-02-12,16,0,0,Berlin,Europe
India,2020-02-12,3,0,0,New Delhi,Asia
Italy,2020-02-12,3,0,0,Italian,Europe
Japan,2020-02-12,28,0,9,Tokyo,Asia
China,2020-02-12,44699,1116,5079,Beijing,Asia
Malaysia,2020-02-12,18,0,3,Kuala Lumpur,Asia
Nepal,2020-02-12,1,0,1,Kathmandu,Asia
Philippines,2020-02-12,3,1,1,Manila,Asia
Russia,2020-02-12,2,0,2,Moscow,Europe
Singapore,2020-02-12,50,0,15,Singapore,Asia
South Korea,2020-02-12,28,0,7,Seoul,Asia
Spain,2020-02-12,2,0,0,Madrid,Europe
Sri Lanka,2020-02-12,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-12,1,0,0,Stockholm,Europe
Taiwan,2020-02-12,18,0,1,Taipei,Asia
Thailand,2020-02-12,33,0,10,Bangkok,Asia
United Kingdom,2020-02-12,9,0,1,London,Europe
United Arab Emirates,2020-02-12,8,0,1,Abu Dhabi,Asia
Vietnam,2020-02-12,15,0,6,Hanoi,Asia
Australia,2020-02-13,15,0,8,Canberra,Oceania
Belgium,2020-02-13,1,0,0,Brussels,Europe
Cambodia,2020-02-13,1,0,1,Phnom Penh,Asia
Canada,2020-02-13,7,0,1,Ottawa,America
Finland,2020-02-13,1,0,1,Helsinki,Europe
France,2020-02-13,11,0,2,Paris,Europe
Germany,2020-02-13,16,0,1,Berlin,Europe
India,2020-02-13,3,0,0,New Delhi,Asia
Italy,2020-02-13,3,0,0,Italian,Europe
Japan,2020-02-13,28,1,9,Tokyo,Asia
China,2020-02-13,59832,1368,6213,Beijing,Asia
Malaysia,2020-02-13,19,0,3,Kuala Lumpur,Asia
Nepal,2020-02-13,1,0,1,Kathmandu,Asia
Philippines,2020-02-13,3,1,1,Manila,Asia
Russia,2020-02-13,2,0,2,Moscow,Europe
Singapore,2020-02-13,58,0,15,Singapore,Asia
South Korea,2020-02-13,28,0,7,Seoul,Asia
Spain,2020-02-13,2,0,0,Madrid,Europe
Sri Lanka,2020-02-13,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-13,1,0,0,Stockholm,Europe
Taiwan,2020-02-13,18,0,1,Taipei,Asia
Thailand,2020-02-13,33,0,12,Bangkok,Asia
United Kingdom,2020-02-13,9,0,1,London,Europe
United Arab Emirates,2020-02-13,8,0,1,Abu Dhabi,Asia
Vietnam,2020-02-13,16,0,7,Hanoi,Asia
Australia,2020-02-14,15,0,8,Canberra,Oceania
Belgium,2020-02-14,1,0,0,Brussels,Europe
Cambodia,2020-02-14,1,0,1,Phnom Penh,Asia
Canada,2020-02-14,7,0,1,Ottawa,America
Egypt,2020-02-14,1,0,0,Cairo,Africa
Finland,2020-02-14,1,0,1,Helsinki,Europe
France,2020-02-14,11,0,2,Paris,Europe
Germany,2020-02-14,16,0,1,Berlin,Europe
India,2020-02-14,3,0,0,New Delhi,Asia
Italy,2020-02-14,3,0,0,Italian,Europe
Japan,2020-02-14,29,1,9,Tokyo,Asia
China,2020-02-14,66292,1520,7973,Beijing,Asia
Malaysia,2020-02-14,19,0,3,Kuala Lumpur,Asia
Nepal,2020-02-14,1,0,1,Kathmandu,Asia
Philippines,2020-02-14,3,1,1,Manila,Asia
Russia,2020-02-14,2,0,2,Moscow,Europe
Singapore,2020-02-14,67,0,17,Singapore,Asia
South Korea,2020-02-14,28,0,7,Seoul,Asia
Spain,2020-02-14,2,0,0,Madrid,Europe
Sri Lanka,2020-02-14,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-14,1,0,0,Stockholm,Europe
Taiwan,2020-02-14,18,0,2,Taipei,Asia
Thailand,2020-02-14,33,0,12,Bangkok,Asia
United Kingdom,2020-02-14,9,0,1,London,Europe
United Arab Emirates,2020-02-14,8,0,1,Abu Dhabi,Asia
Vietnam,2020-02-14,16,0,7,Hanoi,Asia
Australia,2020-02-15,15,0,8,Canberra,Oceania
Belgium,2020-02-15,1,0,0,Brussels,Europe
Cambodia,2020-02-15,1,0,1,Phnom Penh,Asia
Canada,2020-02-15,7,0,1,Ottawa,America
Egypt,2020-02-15,1,0,0,Cairo,Africa
Finland,2020-02-15,1,0,1,Helsinki,Europe
France,2020-02-15,12,1,4,Paris,Europe
Germany,2020-02-15,16,0,1,Berlin,Europe
India,2020-02-15,3,0,0,New Delhi,Asia
Italy,2020-02-15,3,0,0,Italian,Europe
